Year,Trial,MOA,State,tResponse_ratio,Rep,n,Treat,combinedMOA,Group,numberofgroup
2001,5,Non-treated,Washington,0,2,4,Non-treated,27_M1Non-treatedP07,21,3
2001,5,Non-treated,Washington,0,3,4,Non-treated,27_M1Non-treatedP07,21,3
2001,5,Non-treated,Washington,0,4,4,Non-treated,27_M1Non-treatedP07,21,3
2002,6,27_M1,Washington,-0.762140452,1,4,Treated,112227_M1Non-treatedP07,30,5
2002,6,27_M1,Washington,-0.762140452,2,4,Treated,112227_M1Non-treatedP07,30,5
2002,6,27_M1,Washington,-0.693147181,3,4,Treated,112227_M1Non-treatedP07,30,5
2002,6,27_M1,Washington,-0.45198476,4,4,Treated,112227_M1Non-treatedP07,30,5
2002,6,P07,Washington,-0.510826246,1,4,Treated,112227_M1Non-treatedP07,30,5
2002,6,P07,Washington,-0.762140452,2,4,Treated,112227_M1Non-treatedP07,30,5
2002,6,P07,Washington,-0.693147181,3,4,Treated,112227_M1Non-treatedP07,30,5
2002,6,P07,Washington,-0.45198476,4,4,Treated,112227_M1Non-treatedP07,30,5
2002,6,22,Washington,-0.762140452,1,8,Treated,112227_M1Non-treatedP07,30,5
2002,6,22,Washington,-0.762140452,2,8,Treated,112227_M1Non-treatedP07,30,5
2002,6,22,Washington,-0.441832975,3,8,Treated,112227_M1Non-treatedP07,30,5
2002,6,22,Washington,-0.45198476,4,8,Treated,112227_M1Non-treatedP07,30,5
2002,6,22,Washington,-0.762140452,1,8,Treated,112227_M1Non-treatedP07,30,5
2002,6,22,Washington,-0.762140452,2,8,Treated,112227_M1Non-treatedP07,30,5
2002,6,22,Washington,-0.693147181,3,8,Treated,112227_M1Non-treatedP07,30,5
2002,6,22,Washington,-0.45198476,4,8,Treated,112227_M1Non-treatedP07,30,5
2002,6,11,Washington,-0.762140452,1,4,Treated,112227_M1Non-treatedP07,30,5
2002,6,11,Washington,-0.762140452,2,4,Treated,112227_M1Non-treatedP07,30,5
2002,6,11,Washington,-0.693147181,3,4,Treated,112227_M1Non-treatedP07,30,5
2002,6,11,Washington,-0.45198476,4,4,Treated,112227_M1Non-treatedP07,30,5
2002,6,Non-treated,Washington,0,1,4,Non-treated,112227_M1Non-treatedP07,30,5
2002,6,Non-treated,Washington,0,2,4,Non-treated,112227_M1Non-treatedP07,30,5
2002,6,Non-treated,Washington,0,3,4,Non-treated,112227_M1Non-treatedP07,30,5
2002,6,Non-treated,Washington,0,4,4,Non-treated,112227_M1Non-treatedP07,30,5
2003,7,Non-treated,Oregon,0,1,4,Non-treated,1111_7Non-treatedP07,33,4
2003,7,Non-treated,Oregon,0,2,4,Non-treated,1111_7Non-treatedP07,33,4
2003,7,Non-treated,Oregon,0,3,4,Non-treated,1111_7Non-treatedP07,33,4
2003,7,Non-treated,Oregon,0,4,4,Non-treated,1111_7Non-treatedP07,33,4
2003,7,P07,Oregon,0.717459703,1,4,Treated,1111_7Non-treatedP07,33,4
2003,7,P07,Oregon,0.420735657,2,4,Treated,1111_7Non-treatedP07,33,4
2003,7,P07,Oregon,-0.191067594,3,4,Treated,1111_7Non-treatedP07,33,4
2003,7,P07,Oregon,0.740409892,4,4,Treated,1111_7Non-treatedP07,33,4
2003,7,11,Oregon,-0.349684729,1,8,Treated,1111_7Non-treatedP07,33,4
2003,7,11,Oregon,0.244454005,2,8,Treated,1111_7Non-treatedP07,33,4
2003,7,11,Oregon,-1.015285986,3,8,Treated,1111_7Non-treatedP07,33,4
2003,7,11,Oregon,-0.600808017,4,8,Treated,1111_7Non-treatedP07,33,4
2003,7,11,Oregon,-0.260704288,1,8,Treated,1111_7Non-treatedP07,33,4
2003,7,11,Oregon,-0.619058989,2,8,Treated,1111_7Non-treatedP07,33,4
2003,7,11,Oregon,-1.015285986,3,8,Treated,1111_7Non-treatedP07,33,4
2003,7,11,Oregon,-0.389509008,4,8,Treated,1111_7Non-treatedP07,33,4
2003,7,11_7,Oregon,-0.743558701,1,4,Treated,1111_7Non-treatedP07,33,4
2003,7,11_7,Oregon,-1.1299189,2,4,Treated,1111_7Non-treatedP07,33,4
2003,7,11_7,Oregon,-1.526087609,3,4,Treated,1111_7Non-treatedP07,33,4
2003,7,11_7,Oregon,-0.725964101,4,4,Treated,1111_7Non-treatedP07,33,4
2003,8,Non-treated,Oregon,0,1,3,Non-treated,11_7BMNon-treatedP07,34,4
2003,8,Non-treated,Oregon,0,2,3,Non-treated,11_7BMNon-treatedP07,34,4
2003,8,Non-treated,Oregon,0,3,3,Non-treated,11_7BMNon-treatedP07,34,4
2003,8,P07,Oregon,-1.473843417,1,3,Treated,11_7BMNon-treatedP07,34,4
2003,8,P07,Oregon,-1.997462934,2,3,Treated,11_7BMNon-treatedP07,34,4
2003,8,P07,Oregon,-2.331215548,3,3,Treated,11_7BMNon-treatedP07,34,4
2003,8,BM,Oregon,0.33006915,1,3,Treated,11_7BMNon-treatedP07,34,4
2003,8,BM,Oregon,0.122800603,2,3,Treated,11_7BMNon-treatedP07,34,4
2003,8,BM,Oregon,-0.170481443,3,3,Treated,11_7BMNon-treatedP07,34,4
2003,8,11_7,Oregon,-1.690891957,1,3,Treated,11_7BMNon-treatedP07,34,4
2003,8,11_7,Oregon,-0.804672419,2,3,Treated,11_7BMNon-treatedP07,34,4
2003,8,11_7,Oregon,-1.833375981,3,3,Treated,11_7BMNon-treatedP07,34,4
2003,9,Non-treated,Oregon,0,1,3,Non-treated,11_7BMNon-treatedP07,34,4
2003,9,Non-treated,Oregon,0,2,3,Non-treated,11_7BMNon-treatedP07,34,4
2003,9,Non-treated,Oregon,0,3,3,Non-treated,11_7BMNon-treatedP07,34,4
2003,9,P07,Oregon,-0.990406616,1,3,Treated,11_7BMNon-treatedP07,34,4
2003,9,P07,Oregon,-1.241743902,2,3,Treated,11_7BMNon-treatedP07,34,4
2003,9,P07,Oregon,-1.700452922,3,3,Treated,11_7BMNon-treatedP07,34,4
2003,9,BM,Oregon,0,1,3,Treated,11_7BMNon-treatedP07,34,4
2003,9,BM,Oregon,-0.09312457,2,3,Treated,11_7BMNon-treatedP07,34,4
2003,9,BM,Oregon,0.083389122,3,3,Treated,11_7BMNon-treatedP07,34,4
2003,9,11_7,Oregon,-1.157448113,1,3,Treated,11_7BMNon-treatedP07,34,4
2003,9,11_7,Oregon,-1.609437912,2,3,Treated,11_7BMNon-treatedP07,34,4
2003,9,11_7,Oregon,-2.347041124,3,3,Treated,11_7BMNon-treatedP07,34,4
2003,10,11,Washington,-1.189585806,1,12,Treated,1122Non-treatedP07,29,4
2003,10,11,Washington,-1.945910149,2,12,Treated,1122Non-treatedP07,29,4
2003,10,11,Washington,-1.098612289,3,12,Treated,1122Non-treatedP07,29,4
2003,10,11,Washington,-0.693147181,4,12,Treated,1122Non-treatedP07,29,4
2003,10,11,Washington,-0.784120698,1,12,Treated,1122Non-treatedP07,29,4
2003,10,11,Washington,-1.945910149,2,12,Treated,1122Non-treatedP07,29,4
2003,10,11,Washington,-1.098612289,3,12,Treated,1122Non-treatedP07,29,4
